project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Lakshadeep Heights,4000000.0,,1.0,1.0,,Navi Mumbai,,,Semi-Furnished,Apartment,0,6,0,Resale,Ready to Move,,Lakshadeep Developers
Unkown,5800000.0,,2.0,2.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Semi-Furnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Siddheshwar,5000000.0,660.0,2.0,2.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Furnished,Apartment,0,9,6,Resale,Ready to Move,,Madhuraaj Group
Unkown,2200000.0,,,,,Navi Mumbai,,,,Industrial Building,0,0,0,Resale,Under Construction,,Unknown
Galaxy Krishna Tower,11500000.0,,2.0,,Ulwe,Navi Mumbai,18.9750941,73.052334,,Apartment,0,27,6,Resale,Ready to Move,,Galaxy Group
Arihant Aspire,8000000.0,1200.0,2.0,2.0,Palaspa,Navi Mumbai,18.9490253001646,73.1296703741091,Unfurnished,Apartment,0,11,1,Resale,Ready to Move,,Arihant Superstructures Ltd.
Unkown,4000000.0,380.0,1.0,1.0,Ajivali,Navi Mumbai,18.958107,73.169167,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,1 Covered,Unknown
Unkown,10500000.0,410.0,,,,Navi Mumbai,,,Unfurnished,Commercial Shop,0,0,0,Resale,Ready to Move,,Unknown
Unkown,13000000.0,1010.0,3.0,2.0,Sector 10 Khanda Colony,Navi Mumbai,19.00533784,73.1134267,Furnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Unkown,4000000.0,,1.0,2.0,Phase 1 Taloja,Navi Mumbai,19.0775674635419,73.0913385991051,Unfurnished,Builder Floor Apartment,0,0,1,Resale,Under Construction,,Unknown
Unkown,3000000.0,550.0,2.0,1.0,Uran,Navi Mumbai,18.8763656322669,72.9355372705729,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Uran Park,4000000.0,450.0,1.0,1.0,Uran,Navi Mumbai,18.8763656322669,72.9355372705729,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Puravankara Projects Ltd.
Dolphins Pride,7500000.0,456.0,1.0,2.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,20,8,Resale,Ready to Move,,Dolphin Enterprises
Unkown,4500000.0,,1.0,1.0,,Navi Mumbai,,,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Arihant Anshula,5300000.0,900.0,2.0,2.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,19,6,Resale,Ready to Move,,Arihant Superstructures Ltd.
Unkown,6200000.0,680.0,2.0,2.0,Sector 20 Ulwe,Navi Mumbai,18.9779516240329,73.0293337092446,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Unkown,3600000.0,,1.0,2.0,Pushpak Nagar,Navi Mumbai,18.9699719839935,73.0754708794387,Unfurnished,Apartment,0,0,0,Resale,Under Construction,1 Covered,Unknown
Gauri Janaki,5500000.0,432.0,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,25,6,Resale,Ready to Move,,Gauri krupa Developers
Shree Rajal Jyot,6400000.0,342.0,1.0,1.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,8,8,Resale,Ready to Move,,Shree Balaji Developers
Orchid Tower,4200000.0,418.0,1.0,2.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,7,6,Resale,Ready to Move,,SS Fairmount Builders
KK Moreshwar,10000000.0,886.0,2.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,17,6,Resale,Ready to Move,,K  K Developer
Blue Heaven,10500000.0,612.0,2.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Furnished,Apartment,0,13,6,Resale,Ready to Move,,Shwet Jems
Pearl Planet,5500000.0,442.0,1.0,2.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,24,8,Resale,Ready to Move,,Planet Builders And Developers
Neelkanth Residency,4800000.0,480.0,1.0,1.0,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Unfurnished,Apartment,0,8,2,Resale,Ready to Move,,Neelkanth Developers
