project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Vastu Vihar,2950000,223,1,1,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,11,8,Resale,Ready to Move,,Cidco
Indiabulls Greens Panvel,6300000,893,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Semi-Furnished,Apartment,0,56,10,Resale,Ready to Move,,Indiabulls Greens
Indiabulls Greens Panvel,4500000,583,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Semi-Furnished,Apartment,0,56,10,Resale,Under Construction,,Indiabulls Greens
NRI Complex Phase,45000000,1584,3,4,Seawoods,Navi Mumbai,19.0134923674099,73.0176711021806,Semi-Furnished,Apartment,0,14,7,Resale,Ready to Move,,Cidco
Omkar Residency,2400000,324,1,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,14,10,Resale,Under Construction,,Unknown
Mittal Tower ,12000000,666,2,2,Kopar Khairane,Navi Mumbai,19.1033695651723,73.0121586680414,Semi-Furnished,Apartment,0,0,10,Resale,Ready to Move,,Cooperative Group Housing Society
Hi Tech Housing Society,20000000,1188,3,3,Sector 12 Kharghar,Navi Mumbai,19.043551,73.066347,Semi-Furnished,Apartment,0,0,1,Resale,Ready to Move,,Unknown
Keshav Kunj Apartment,10000000,428,1,2,Vashi,Navi Mumbai,19.0777155057838,73.0027923491613,Unfurnished,Apartment,0,0,9,Resale,Ready to Move,,Unknown
Shanti Niketan C H S,13000000,911,3,3,Airoli,Navi Mumbai,19.1609103453837,72.9933968951486,Semi-Furnished,Apartment,0,8,10,Resale,Ready to Move,,Patel Developers
Rose Tower,6500000,634,2,2,Sector 35E Kharghar,Navi Mumbai,19.0671965175572,73.0742738353258,Unfurnished,Apartment,0,7,0,Resale,Ready to Move,,Patel Developers
Dev Balaji Residency,2400000,407,1,1,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,18,10,Resale,Ready to Move,,Dev Builders & Developers
Premises Residency,9500000,695,2,2,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Furnished,Apartment,0,7,8,Resale,Ready to Move,,Premises Developer
Bhumiraj Meadows,7800000,338,1,2,Airoli,Navi Mumbai,19.1609103453837,72.9933968951486,Unfurnished,Apartment,0,16,10,Resale,Ready to Move,,Bhumiraj Group
Proviso Hill Park,6000000,522,1,2,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Furnished,Apartment,0,22,8,Resale,Ready to Move,,Proviso Group
Shah Alpine,6500000,288,1,1,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,16,8,Resale,Ready to Move,,Shah Group Builders & Infraprojects Ltd.
Space India Vaastusiddhi Landmark Riverside,2500000,414,1,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,26,10,Resale,Ready to Move,,Space India
Advance Vision,6200000,729,2,2,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,24,6,Resale,Ready to Move,,Advance Groups
Neelam Heights,5800000,432,1,1,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Semi-Furnished,Apartment,0,8,8,Resale,Ready to Move,,Shree sai developers
Nirvaana,4000000,558,1,2,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,8,5,Resale,Ready to Move,,Nirvaana Developers
Sai Prince,3550000,395,1,1,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,30,6,Resale,Ready to Move,,Ganesha Construction
Radha Krishna Complex,6900000,486,1,1,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,4,3,Resale,Ready to Move,,Gami Group
Green Acres,2500000,493,1,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Semi-Furnished,Apartment,0,8,10,Resale,Ready to Move,,Namo Properties
Neelkanth Vishwa,5800000,633,2,2,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,5,5,Resale,Ready to Move,,Bhagchand C. Khubchandani
