project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Poddar Samruddhi Evergreen,2500000.0,,1,1,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,15,8,Resale,Ready to Move,,Poddar Housing
Unkown,1700000.0,,1,1,Kalyan East,Beyond Thane,19.2280216158659,73.1334807284888,Unfurnished,Apartment,0,0,2,Resale,Ready to Move,,Unknown
Lodha Palava Codename Epic,3500000.0,421,1,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,55,5,New Property,Ready to Move,,Lodha Developers Limited
Datta Apartment Kalyan,4500000.0,,1,1,Kalyan,Beyond Thane,19.2449413625186,73.1331398884041,Semi-Furnished,Apartment,0,0,8,Resale,Ready to Move,,Unknown
Unkown,2150000.0,,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Lok Nagari Phase III,2500000.0,525,1,2,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Semi-Furnished,Apartment,0,3,1,Resale,Ready to Move,,Lok Nagari Developers
Ramchandra Park,1900000.0,230,1,1,Nandivali Panchanand,Beyond Thane,19.19876487,73.09137595,Unfurnished,Apartment,0,13,0,Resale,Ready to Move,,Sawant Enterprises
Shankeshwar Nagar,3800000.0,500,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,11,5,Resale,Ready to Move,1 Open,Sanghvi Builders
Unkown,3200000.0,,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Unkown,1800000.0,,2,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,0,4,Resale,,,Unknown
Suresh Complex,2500000.0,,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Runwal MyCity,4900000.0,,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,5,8,Resale,Ready to Move,,Runwal Group
Lodha Palava,6000000.0,650,3,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Vishwajeet Edge,2300000.0,450,1,1,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Unfurnished,Apartment,0,25,1,Resale,Ready to Move,,GBK Group
Unkown,1200000.0,,,1,Badlapur East,Beyond Thane,19.1639249,73.2459247,Semi-Furnished,Studio Apartment,0,0,6,Resale,Ready to Move,,Unknown
Unkown,5500000.0,168,,,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Commercial Shop,0,0,4,Resale,Ready to Move,,Unknown
Sarvodaya Nagar,2500000.0,,1,1,Ambernath,Beyond Thane,19.1986487504664,73.2004913077756,Semi-Furnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Unkown,2700000.0,,1,1,Badlapur West,Beyond Thane,19.1760975692482,73.2401614495576,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Gupta Sai Orchid,7500000.0,,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,30,5,Resale,Ready to Move,,Gupta Builders And Developers
Siddhi City,2250000.0,,1,1,Badlapur East,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,21,6,Resale,Ready to Move,10 Open,Siddhi Developers
Hill Side Residency,1750000.0,,1,1,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,11,8,Resale,Ready to Move,,Ecogreen Group
Tharwani Ariana,3251000.0,,2,2,Ambernath West,Beyond Thane,19.2107415190685,73.1908213734783,Unfurnished,Apartment,0,20,2,Resale,Ready to Move,,Tharwani Realty
Unkown,3000000.0,,1,2,Badlapur East,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Arihant Anmol,2600000.0,,1,1,Badlapur East,Beyond Thane,19.1639249,73.2459247,Semi-Furnished,Apartment,0,7,6,Resale,Ready to Move,,Arihant Superstructures Ltd
