project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Raunak Heights,5500000,464,1,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Semi-Furnished,Apartment,0,39,4,Resale,Ready to Move,,Raunak Group
Raunak Heights,5400000,469,1,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,39,4,Resale,Ready to Move,,Raunak Group
Regency Heights,23000000,766,3,3,Kolshet Road,Thane,19.2321621,72.9873688,Furnished,Apartment,0,31,1,Resale,Ready to Move,,Regency Group
Regency Heights,15500000,839,2,2,Kolshet Road,Thane,19.2321621,72.9873688,Furnished,Apartment,0,31,1,Resale,Ready to Move,,Regency Group
Regency Sarvam,5600000,785,2,2,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Semi-Furnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,5000000,814,2,2,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,4250000,763,2,2,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,3300000,346,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Semi-Furnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,3800000,518,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,3700000,511,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Semi-Furnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,6000000,858,2,2,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,4200000,529,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Semi-Furnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,3800000,305,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Semi-Furnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Regency Sarvam,4000000,511,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,21,4,Resale,Ready to Move,,Regency Group
Dosti Planet North,4800000,484,1,2,Shilphata,Thane,19.1465685568349,73.0399463501033,Unfurnished,Apartment,0,5,0,Resale,Ready to Move,,Dosti Realty
Rustomjee Azziano,18800000,826,3,3,Majiwada,Thane,19.215865938964,72.9914374146644,Furnished,Apartment,0,21,6,Resale,Ready to Move,,Rustomjee
Thanekar Hillcrest,2200000,457,1,1,Badlapur East,Beyond Thane,19.1639249,73.2459247,Furnished,Apartment,0,12,6,Resale,Ready to Move,,Thanekar Group
Lodha Paradise,7700000,432,1,2,Majiwada,Thane,19.215865938964,72.9914374146644,Semi-Furnished,Apartment,0,51,6,Resale,Ready to Move,,Lodha Developers Limited
Lok Upvan,14000000,720,2,2,Vasant Vihar,Thane,19.2239106440589,72.9678909294473,Semi-Furnished,Apartment,0,12,1,Resale,Ready to Move,,Jaiveer Group
Lok Upvan,8000000,396,1,1,Vasant Vihar,Thane,19.2239106440589,72.9678909294473,Furnished,Apartment,0,12,1,Resale,Ready to Move,,Jaiveer Group
Mohan Suburbia,4500000,732,2,2,Ambernath,Beyond Thane,19.1986487504664,73.2004913077756,Unfurnished,Apartment,0,32,6,Resale,Ready to Move,,Mohan Group
Swastik Regalia,15000000,1008,3,3,Waghbil,Thane,19.266575,72.983724,Furnished,Apartment,0,18,1,Resale,Ready to Move,,Regaliaa Realty
Runwal Eirene,7600000,446,1,1,Balkum Pada,Thane,19.218154,72.993664,Semi-Furnished,Apartment,0,24,3,Resale,Ready to Move,,Runwal Group
Runwal Eirene,9800000,598,2,2,Balkum Pada,Thane,19.218154,72.993664,Semi-Furnished,Apartment,0,24,3,Resale,Ready to Move,,Runwal Group
Vantage Green Woods,3700000,464,1,1,Shilphata,Thane,19.1465685568349,73.0399463501033,Unfurnished,Apartment,0,18,0,Resale,Ready to Move,,Vantage Land Developers
Highland Park,7500000,435,1,2,Kolshet Road,Thane,19.2321621,72.9873688,Unfurnished,Apartment,0,48,1,Resale,Ready to Move,,Siddhi Group
Runwal MyCity,4500000,706,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,5,8,Resale,Ready to Move,,Runwal Group
Rustomjee Urbania,12500000,693,2,2,Majiwada,Thane,19.215865938964,72.9914374146644,Furnished,Apartment,0,21,6,Resale,Ready to Move,,Rustomjee
Haware Citi,4500000,396,1,1,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Semi-Furnished,Apartment,0,32,4,Resale,Ready to Move,,Haware Group
