project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,developers,project_name_encoded,locality_encoded,city_encoded,developers_encoded
Kabra Galaxy Star 2,11000000.0,664.5830656784965,2.0,2.0,Thane West,Thane,19.2083097363891,72.9724465271482,0.5,1.0,0.0,14.0,10.0,0.0,1.0,Kabra Group,10200000.0,12587073.863636363,11830959.195290858,29055466.666666668
Charms Shri Kaustubh,11800000.0,536.0521726145016,1.0,2.0,Thane East,Thane,19.1811808756343,72.9763405196886,0.0,1.0,0.0,26.0,6.0,0.0,0.5,Charms Group,11800000.0,12183333.333333334,11830959.195290858,4025000.0
Lodha Amara,10100000.0,618.0,2.0,2.0,Kolshet Road,Thane,19.2321621,72.9873688,0.0,1.0,1.0,42.0,1.0,1.0,1.0,Lodha Developers Limited,11600000.0,12836061.855670104,11830959.195290858,13938004.985772358
Squarefeet Imperial Square,4500000.0,317.13883769812674,1.0,1.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,0.0,1.0,0.0,30.0,4.0,0.0,1.0,Squarefeet Group,4500000.0,10508414.062706271,11830959.195290858,7305466.0
Unkown,14000000.0,850.0,3.0,3.0,Thane East,Thane,19.1811808756343,72.9763405196886,0.5,1.0,0.0,0.0,6.0,0.0,1.0,Unknown,15096882.33921457,12183333.333333334,11830959.195290858,14922676.984989278
Ram Pushpanjali Residency,6500000.0,538.0,1.0,2.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,0.0,1.0,0.0,36.0,4.0,1.0,1.0,Ram Developers,7300000.0,10508414.062706271,11830959.195290858,7300000.0
Raunak Residency,8250000.0,367.0,1.0,2.0,Vartak Nagar,Thane,19.2123022683298,72.9624750800907,0.5,1.0,0.0,26.0,4.0,0.0,1.0,Raunak Group,8125000.0,10790625.0,11830959.195290858,6326315.7894736845
Ashar Aria,14000000.0,643.0,2.0,2.0,Kharegaon,Thane,19.2000964243507,72.9992204728793,0.0,1.0,0.0,21.0,2.0,0.0,1.0,Ashar Group,14250000.0,10983333.333333334,11830959.195290858,14552812.5
Dev Ashoka,16300000.0,739.0,2.0,2.0,Jeejamata Nagar,Thane,19.1993468040348,72.96024365995,0.5,1.0,0.0,14.0,0.0,1.0,1.0,DLH,16300000.0,16300000.0,11830959.195290858,21650000.0
Unkown,15000000.0,620.0,2.0,2.0,Majiwada,Thane,19.215865938964,72.9914374146644,0.5,1.0,0.0,0.0,6.0,0.0,1.0,Unknown,15096882.33921457,12413734.446601942,11830959.195290858,14922676.984989278
Runwal Pearl,20000000.0,825.0,3.0,2.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,0.5,1.0,0.0,35.0,4.0,0.0,1.0,Runwal Group,14500000.0,10508414.062706271,11830959.195290858,11289781.82278481
National Paradise,61500000.0,1050.0,2.0,2.0,Panvel,Thane,18.9894007,73.1175162,1.0,2.0,0.0,2.0,10.0,0.0,1.0,National Builders,61500000.0,7284298.14968815,11830959.195290858,73857142.85714285
Unkown,6300000.0,320.11044696267345,1.0,1.0,Kolshet,Thane,19.2392002271759,72.997235034948,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Unknown,15096882.33921457,14288200.0,11830959.195290858,14922676.984989278
Hiranandani The Walk Ventana,10000000.0,419.0,1.0,2.0,Hiranandani Estate,Thane,19.2577957544321,72.9839623718896,0.5,1.0,0.0,23.0,4.0,0.0,1.0,Hiranandani Group,10000000.0,20068965.51724138,11830959.195290858,24471228.07017544
Lodha Splendora,14000000.0,978.682394173411,3.0,3.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,0.5,1.0,0.0,48.0,4.0,0.0,1.0,Lodha Developers Limited,11116304.347826088,10508414.062706271,11830959.195290858,13938004.985772358
Suraksha Orovia Phase 1,6200000.0,384.0,1.0,2.0,Waghbil,Thane,19.266575,72.983724,0.0,1.0,0.0,4.0,1.0,1.0,1.0,Vijay Suraksha Realty LLP,14025000.0,8368285.714285715,11830959.195290858,14025000.0
Cosmos Park,8500000.0,576.0,2.0,2.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,0.0,1.0,0.0,14.0,4.0,0.0,1.0,Cosmos Group,11666666.666666666,10508414.062706271,11830959.195290858,10892857.142857144
Unkown,13500000.0,828.0,3.0,3.0,Kavesar,Thane,19.2607077539498,72.9725861660124,0.5,1.0,0.0,0.0,4.0,0.0,1.0,Unknown,15096882.33921457,10277777.777777778,11830959.195290858,14922676.984989278
Cosmos Park,8500000.0,558.0,2.0,2.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,0.0,1.0,0.0,14.0,4.0,0.0,1.0,Cosmos Group,11666666.666666666,10508414.062706271,11830959.195290858,10892857.142857144
Tata Glendale,18900000.0,936.0,3.0,2.0,Pokhran Road,Thane,19.2070940767958,72.9568656970685,0.0,1.0,0.0,13.0,3.0,0.0,1.0,TATA Housing Development Company Ltd.,26950000.0,14035373.57142857,11830959.195290858,10271142.857142856
Tata Glendale,35000000.0,1008.0,3.0,3.0,Pokhran Road,Thane,19.2070940767958,72.9568656970685,0.5,1.0,0.0,13.0,3.0,0.0,1.0,TATA Housing Development Company Ltd.,26950000.0,14035373.57142857,11830959.195290858,10271142.857142856
Lodha Splendora,10000000.0,743.0,2.0,2.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,0.0,1.0,0.0,48.0,4.0,0.0,1.0,Lodha Developers Limited,11116304.347826088,10508414.062706271,11830959.195290858,13938004.985772358
Lodha Quality Homes,4400000.0,356.3438583603602,1.0,1.0,Balkum Pada,Thane,19.218154,72.993664,0.0,1.0,0.0,3.0,3.0,1.0,0.5,Lodha Developers Limited,4725000.0,11619798.28,11830959.195290858,13938004.985772358
Sukur Residency,7800000.0,601.0,2.0,2.0,Anand Nagar Thane West,Thane,19.2640466932527,72.9652443996319,0.0,1.0,0.0,11.0,4.0,0.0,1.0,Jaiveer Group,5850000.0,7772916.666666667,11830959.195290858,7330000.0
centrum it park,4500000.0,518.0900695958699,2.0,1.0,Wagle Industrial Estate,Thane,19.1993804854674,72.9491798058801,0.0,2.0,0.0,32.0,7.0,1.0,0.5,Squarefeet Group,7081500.0,17562600.0,11830959.195290858,7305466.0
Lok Upvan,7000000.0,458.92489640727945,1.0,2.0,Vasant Vihar,Thane,19.2239106440589,72.9678909294473,0.5,1.0,0.0,12.0,1.0,0.0,1.0,Jaiveer Group,8810000.0,16950588.23529412,11830959.195290858,7330000.0
Lok Upvan,6560000.0,432.90865508036586,1.0,2.0,Vasant Vihar,Thane,19.2239106440589,72.9678909294473,0.0,1.0,0.0,12.0,1.0,0.0,1.0,Jaiveer Group,8810000.0,16950588.23529412,11830959.195290858,7330000.0
