project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,developers,project_name_encoded,locality_encoded,city_encoded,developers_encoded
Unkown,16500000.0,600.0,2.0,2.0,Mulund East,Mumbai,19.1531029501285,72.9678051455382,1.0,1.0,0.0,0.0,5.0,0.0,1.0,Unknown,15096882.33921457,16992592.592592593,28962086.69855786,14922676.984989278
JE & VEE Om Trimurti,17000000.0,591.0,2.0,2.0,MHB Colony Dindoshi,Mumbai,19.1778527,72.86034163,0.0,1.0,0.0,14.0,0.0,0.0,1.0,JE & VEE Infrastructure,17000000.0,17000000.0,28962086.69855786,17000000.0
Unkown,8770000.0,276.7080102264481,1.0,1.0,Dahisar East,Mumbai,19.2530390003417,72.8684258373265,0.0,1.0,0.0,0.0,9.0,0.0,1.0,Unknown,15096882.33921457,15067727.272727273,28962086.69855786,14922676.984989278
Hiranandani Highland,42300000.0,1201.3992606500979,3.0,3.0,Powai,Mumbai,19.1196773,72.9050809,0.5,1.0,0.0,24.0,10.0,0.0,1.0,Hiranandani Developers,33066666.666666668,30769898.288135592,28962086.69855786,33066666.666666668
Brindavan,19500000.0,910.0,3.0,3.0,Evershine Nagar,Mumbai,19.1907510730194,72.8323939840267,0.5,1.0,0.0,6.0,1.0,0.0,1.0,Brindavan Builders,19500000.0,24150000.0,28962086.69855786,19500000.0
Shree Dutta Tower,26000000.0,735.0,2.0,2.0,Parel,Mumbai,18.9982694030581,72.8410429440342,0.5,1.0,0.0,0.0,6.0,0.0,1.0,Unknown,26000000.0,40645161.29032258,28962086.69855786,14922676.984989278
Ajmera Greenfinity,18800000.0,655.7530751847626,2.0,2.0,Wadala East,Mumbai,19.0135321429189,72.8602998056272,0.0,1.0,0.0,18.0,2.0,0.0,0.5,Ajmera Realty & Infra India Ltd.,18800000.0,30138750.0,28962086.69855786,22498125.0
Brindaban Phase II,21500000.0,750.0,2.0,2.0,Andheri East,Mumbai,19.1154908,72.8726952,0.5,1.0,0.0,0.0,10.0,0.0,1.0,Unknown,21500000.0,27388814.814814813,28962086.69855786,14922676.984989278
Royal Palms,9500000.0,500.0,2.0,2.0,Goregaon East,Mumbai,19.1562110822264,72.8758090633208,0.5,1.0,0.0,31.0,9.0,0.0,1.0,Royal Palms,5750000.0,24577865.85365854,28962086.69855786,8845454.545454545
Transcon Auris Serenity,33300000.0,697.5836576669681,2.0,2.0,Kanchpada,Mumbai,19.1905368775868,72.8386450242394,1.0,1.0,0.0,38.0,2.0,0.0,1.0,Transcon Developers and Sheth Creators,35300000.0,57333333.333333336,28962086.69855786,31785714.285714287
Rajawadi Vallabh CHS,25000000.0,735.0,2.0,2.0,Ghatkopar East,Mumbai,19.07907,72.907976,0.0,1.0,0.0,0.0,9.0,0.0,1.0,Cooperative Group Housing Society,25000000.0,27393920.0,28962086.69855786,14124232.135714285
Rajendra Dolphin Tower,19900000.0,750.0,2.0,2.0,Malad West,Mumbai,19.1940346300819,72.8257561606587,0.0,1.0,0.0,14.0,10.0,0.0,1.0,Rajendra Builders Pvt. Ltd.,19900000.0,18907511.478723403,28962086.69855786,19900000.0
Indra Darshan Apartment,31500000.0,770.0,2.0,2.0,Andheri West,Mumbai,19.1373697481266,72.8257229439874,1.0,1.0,0.0,4.0,10.0,0.0,1.0,Indra Darshan Developer,40350000.0,36045507.46268657,28962086.69855786,40350000.0
Ariana Residency,8800000.0,374.0,1.0,2.0,Devipada,Mumbai,19.22467,72.86657,0.0,1.0,0.0,20.0,5.0,0.0,1.0,Paradigm Realty & Dotom Realty,8650000.0,8800000.0,28962086.69855786,8650000.0
Rizvi Cedar ,15400000.0,706.0,2.0,2.0,Kurar Village,Mumbai,19.19034,72.86303,1.0,1.0,0.0,13.0,2.0,0.0,1.0,Rizvi Builders,13050000.0,18200000.0,28962086.69855786,12712500.0
Shiv Kripa,12000000.0,325.0,1.0,1.0,Chembur,Mumbai,19.0459181155422,72.8975231581492,0.5,1.0,0.0,0.0,10.0,0.0,1.0,Unknown,12000000.0,28907081.472527474,28962086.69855786,14922676.984989278
Shreeji Krupa,135000000.0,2880.0,5.0,6.0,Vile Parle West,Mumbai,19.1093928395446,72.8369701399986,0.5,1.0,0.0,4.0,8.0,0.0,1.0,Unknown,135000000.0,62447285.71428572,28962086.69855786,14922676.984989278
Lodha Codename Bullseye,9500000.0,720.0,2.0,2.0,Mira Road Area,Mumbai,19.2829267647424,72.8627883689306,0.5,1.0,0.0,14.0,8.0,0.0,1.0,Lodha Developers Limited,10866666.666666666,8827539.215686275,28962086.69855786,13938004.985772358
Lodha Codename Bullseye,12600000.0,756.0,2.0,2.0,Mira Road Area,Mumbai,19.2829267647424,72.8627883689306,0.5,1.0,0.0,14.0,8.0,0.0,1.0,Lodha Developers Limited,10866666.666666666,8827539.215686275,28962086.69855786,13938004.985772358
Lodha Codename Bullseye,10500000.0,468.0,2.0,2.0,Mira Road Area,Mumbai,19.2829267647424,72.8627883689306,0.0,1.0,0.0,14.0,8.0,0.0,0.5,Lodha Developers Limited,10866666.666666666,8827539.215686275,28962086.69855786,13938004.985772358
Nicon Infinity,3872000.0,536.0,1.0,2.0,Vasai East,Mumbai,19.39954,72.8604165,0.0,1.0,0.0,0.0,6.0,0.0,0.5,Nicon Infra LLP,3872000.0,4582761.904761905,28962086.69855786,3872000.0
Oberoi Maxima,125000000.0,1300.0,5.0,4.0,Andheri East,Mumbai,19.1154908,72.8726952,0.0,1.0,0.0,5.0,10.0,0.0,1.0,Oberoi Realty Ltd.,101500000.0,27388814.814814813,28962086.69855786,61547652.17391305
Kanakia Zen World,13500000.0,381.0,1.0,1.0,Kanjurmarg East,Mumbai,19.1303464798827,72.934955451681,0.0,1.0,0.0,19.0,5.0,0.0,1.0,Kanakia Spaces Realty Pvt. Ltd.,17700000.0,18709800.0,28962086.69855786,26703758.620689657
Kanakia Zen World,27500000.0,648.0,2.0,2.0,Kanjurmarg East,Mumbai,19.1303464798827,72.934955451681,1.0,1.0,0.0,19.0,5.0,0.0,1.0,Kanakia Spaces Realty Pvt. Ltd.,17700000.0,18709800.0,28962086.69855786,26703758.620689657
Kanakia Zen World,21500000.0,684.0,2.0,2.0,Kanjurmarg East,Mumbai,19.1303464798827,72.934955451681,1.0,1.0,0.0,19.0,5.0,0.0,1.0,Kanakia Spaces Realty Pvt. Ltd.,17700000.0,18709800.0,28962086.69855786,26703758.620689657
Kanakia Zen World,11000000.0,542.0,1.0,2.0,Kanjurmarg East,Mumbai,19.1303464798827,72.934955451681,0.0,1.0,0.0,19.0,5.0,0.0,0.5,Kanakia Spaces Realty Pvt. Ltd.,17700000.0,18709800.0,28962086.69855786,26703758.620689657
Agarwal Exotica ,6000000.0,648.0,2.0,2.0,Vasai East,Mumbai,19.39954,72.8604165,0.5,1.0,0.0,23.0,6.0,0.0,1.0,Agarwal Group,6000000.0,4582761.904761905,28962086.69855786,9000000.0
NG Silver Spring,9000000.0,719.0,2.0,2.0,Mira Road Area,Mumbai,19.2829267647424,72.8627883689306,1.0,1.0,0.0,21.0,8.0,0.0,1.0,RNA NG Builders,8866666.666666666,8827539.215686275,28962086.69855786,9710526.315789474
Lodha Altia,17000000.0,370.0,1.0,1.0,Wadala East,Mumbai,19.0135321429189,72.8602998056272,0.5,1.0,0.0,26.0,2.0,0.0,1.0,Lodha Developers Limited,27000000.0,30138750.0,28962086.69855786,13938004.985772358
Siddha Seabrook,15000000.0,396.0,2.0,2.0,Kandivali West,Mumbai,19.2101312179652,72.8305011930765,0.0,1.0,0.0,22.0,9.0,0.0,0.5,Siddha Group,15000000.0,15893324.675324675,28962086.69855786,22855000.0
Godrej Tranquil,16800000.0,490.0,2.0,2.0,Kandivali East,Mumbai,19.2050017,72.8692711,0.5,1.0,0.0,35.0,10.0,0.0,1.0,Godrej Properties,16866666.666666668,25722419.363636363,28962086.69855786,30266081.87735849
Godrej Tranquil,18500000.0,490.0,2.0,2.0,Kandivali East,Mumbai,19.2050017,72.8692711,0.0,1.0,0.0,35.0,10.0,0.0,1.0,Godrej Properties,16866666.666666668,25722419.363636363,28962086.69855786,30266081.87735849
Godrej Tranquil,16900000.0,509.0,2.0,2.0,Kandivali East,Mumbai,19.2050017,72.8692711,0.0,1.0,0.0,35.0,10.0,0.0,1.0,Godrej Properties,16866666.666666668,25722419.363636363,28962086.69855786,30266081.87735849
Godrej Tranquil,16000000.0,482.0,2.0,2.0,Kandivali East,Mumbai,19.2050017,72.8692711,0.0,1.0,0.0,35.0,10.0,0.0,0.5,Godrej Properties,16866666.666666668,25722419.363636363,28962086.69855786,30266081.87735849
Godrej Tranquil,18000000.0,777.0,2.0,2.0,Kandivali East,Mumbai,19.2050017,72.8692711,0.5,1.0,0.0,35.0,10.0,0.0,1.0,Godrej Properties,16866666.666666668,25722419.363636363,28962086.69855786,30266081.87735849
UK Iridium,8500000.0,456.0,1.0,1.0,Akurli Nagar,Mumbai,19.19874,72.860507,0.0,1.0,0.0,18.0,2.0,0.0,0.5,UK Realty,9050000.0,17033333.333333332,28962086.69855786,11200000.0
UK Iridium,9600000.0,465.0,1.0,2.0,Kandivali East,Mumbai,19.2050017,72.8692711,0.0,1.0,0.0,18.0,10.0,0.0,0.5,UK Realty,9050000.0,25722419.363636363,28962086.69855786,11200000.0
Ruparel Optima,8500000.0,324.0,1.0,1.0,Kandivali West,Mumbai,19.2101312179652,72.8305011930765,1.0,1.0,0.0,15.0,9.0,0.0,0.5,Ruparel Realty,7750000.0,15893324.675324675,28962086.69855786,37256288.571428575
A&O F Residences Malad,19500000.0,864.0,2.0,2.0,Malad East,Mumbai,19.1848724519187,72.8629697025013,0.0,1.0,0.0,14.0,9.0,0.0,0.5,A&O Realty and Riddhi Siddhi Group,26250000.0,26222056.585365854,28962086.69855786,26250000.0
Prima Terra Upper East 97,23000000.0,651.0,3.0,3.0,Malad East,Mumbai,19.1848724519187,72.8629697025013,0.0,1.0,0.0,21.0,9.0,0.0,1.0,Prima Terra Buildtech,23000000.0,26222056.585365854,28962086.69855786,23000000.0
PNK Tiara Hills,8700000.0,630.0,2.0,2.0,Mira Road Area,Mumbai,19.2829267647424,72.8627883689306,1.0,1.0,0.0,29.0,8.0,0.0,0.5,PNK Group,8700000.0,8827539.215686275,28962086.69855786,8700000.0
Peninsula Celestia Spaces,38900000.0,1007.0,2.0,2.0,Sewri,Mumbai,18.9920224182449,72.8537565266891,0.5,1.0,0.0,20.0,6.0,0.0,1.0,Peninsula Land Ltd.,44544444.44444445,58746666.666666664,28962086.69855786,45184615.384615384
Prathana Acharya Ashram,11500000.0,468.0,1.0,2.0,Borivali West,Mumbai,19.2335321,72.839198,1.0,1.0,0.0,0.0,10.0,0.0,1.0,Unknown,11750000.0,26515480.0,28962086.69855786,14922676.984989278
Morya Avenue,9500000.0,446.0,1.0,2.0,Borivali East,Mumbai,19.2272619069866,72.8634397272398,0.5,1.0,0.0,0.0,10.0,0.0,1.0,Morya Infrastructure Pvt. Ltd.,9500000.0,32723790.90909091,28962086.69855786,16750000.0
Lodha Estrella,41800000.0,1490.0,3.0,4.0,Wadala,Mumbai,19.012216203088,72.8604594318626,0.5,1.0,0.0,54.0,5.0,0.0,1.0,Lodha Developers Limited,41800000.0,34264980.0,28962086.69855786,13938004.985772358
Piccadilly Condos,3500000.0,248.0,1.0,1.0,Goregaon East,Mumbai,19.1562110822264,72.8758090633208,0.5,1.0,0.0,18.0,9.0,0.0,1.0,Royal Palms,3500000.0,24577865.85365854,28962086.69855786,8845454.545454545
Adani Western Heights,65000000.0,1620.0,4.0,4.0,Four Bungalows,Mumbai,19.12537,72.82542,0.5,1.0,0.0,57.0,3.0,0.0,1.0,Adani Realty,61222222.222222224,49562500.0,28962086.69855786,65592258.823529415
Sujata Niwas Apartment,32500000.0,639.0,2.0,2.0,Bandra West,Mumbai,19.055229,72.830829,0.5,1.0,0.0,0.0,9.0,0.0,1.0,Unknown,32500000.0,69669615.38461539,28962086.69855786,14922676.984989278
Satyam CHS,14000000.0,540.0,2.0,2.0,Andheri West,Mumbai,19.1373697481266,72.8257229439874,0.0,1.0,0.0,4.0,10.0,0.0,1.0,Satya Krupa Constructions,14000000.0,36045507.46268657,28962086.69855786,14000000.0
Diamond Garden,35000000.0,821.0,3.0,2.0,Chembur,Mumbai,19.0459181155422,72.8975231581492,1.0,1.0,0.0,18.0,10.0,0.0,1.0,Cooperative Group Housing Society,39300000.0,28907081.472527474,28962086.69855786,14124232.135714285
Platinum Casa Divine,11500000.0,222.0,1.0,1.0,Andheri West,Mumbai,19.1373697481266,72.8257229439874,1.0,1.0,0.0,14.0,10.0,0.0,1.0,Platinum Corp,13550000.0,36045507.46268657,28962086.69855786,17290076.923076924
Govinda Park,2213750.0,414.0,1.0,1.0,Nalasopara West,Mumbai,19.4129235749963,72.7885889890948,0.0,1.0,0.0,13.0,4.0,0.0,0.5,Govinda Group,2213750.0,3487980.769230769,28962086.69855786,2213750.0
Diamond Garden,37500000.0,1332.0,3.0,3.0,Chembur,Mumbai,19.0459181155422,72.8975231581492,0.5,1.0,0.0,18.0,10.0,0.0,1.0,Cooperative Group Housing Society,39300000.0,28907081.472527474,28962086.69855786,14124232.135714285
Sadhu Hiranand,7550000.0,331.0,1.0,2.0,Malad West,Mumbai,19.1940346300819,72.8257561606587,0.5,1.0,0.0,7.0,10.0,0.0,1.0,Sadhu & Development of group,6975000.0,18907511.478723403,28962086.69855786,6975000.0
Wadhwa Imperial Heights,34500000.0,1518.0,3.0,3.0,Goregaon West,Mumbai,19.1630920855215,72.8398088005091,0.0,1.0,0.0,13.0,10.0,0.0,1.0,The Wadhwa Group,42333333.333333336,27435008.06451613,28962086.69855786,24287940.677966103
Kalpataru Sparkle,67000000.0,1080.0,3.0,2.0,Bandra East,Mumbai,19.062055421515,72.8541362644682,0.0,1.0,0.0,23.0,10.0,0.0,1.0,Kalpataru Ltd.,67000000.0,58829823.52941176,28962086.69855786,27877484.848484848
Shiv Prerna,7300000.0,288.0,1.0,1.0,Ghatkopar West,Mumbai,19.0908063,72.9076669,0.5,1.0,0.0,0.0,10.0,0.0,1.0,Unknown,7300000.0,18440540.54054054,28962086.69855786,14922676.984989278
Kohinoor City,22000000.0,600.0,2.0,2.0,Kurla West,Mumbai,19.077063,72.8840395,0.0,1.0,0.0,34.0,10.0,0.0,1.0,Kohinoor Group,21666666.666666668,14300000.0,28962086.69855786,14165000.0
Samarth Garden,12000000.0,619.0,2.0,2.0,Bhandup West,Mumbai,19.149901,72.931134,0.0,1.0,0.0,7.0,8.0,0.0,1.0,Mahadev & Company Pvt. Ltd.,15166666.666666666,15605677.966101695,28962086.69855786,15166666.666666666
Evershine Crown,26000000.0,950.0,3.0,2.0,Kandivali East,Mumbai,19.2050017,72.8692711,0.0,1.0,0.0,31.0,10.0,0.0,1.0,Evershine Builders,26000000.0,25722419.363636363,28962086.69855786,16785714.285714287
Neminath Luxeria,24836000.0,900.0,3.0,2.0,Andheri West,Mumbai,19.1373697481266,72.8257229439874,0.0,1.0,0.0,24.0,10.0,0.0,1.0,Neminath Group,24836000.0,36045507.46268657,28962086.69855786,39112000.0
Royal Palace,15100000.0,367.0,1.0,1.0,Elphinstone,Mumbai,19.0081314771461,72.8307980979771,1.0,1.0,0.0,17.0,0.0,0.0,1.0,I S A Enterprises,15100000.0,22700000.0,28962086.69855786,15100000.0
Aims Sea View,9200000.0,720.0,2.0,2.0,Bhayandar East,Mumbai,19.3096844760714,72.8623193046283,0.5,1.0,0.0,21.0,5.0,0.0,1.0,Aims Group,9200000.0,7161357.142857143,28962086.69855786,9200000.0
Sunteck City Avenue II,18500000.0,695.0,2.0,2.0,Goregaon West,Mumbai,19.1630920855215,72.8398088005091,0.0,1.0,0.0,30.0,10.0,0.0,1.0,Sunteck Realty Ltd.,18500000.0,27435008.06451613,28962086.69855786,23686264.70588235
Omkar Ananta,14000000.0,792.0,2.0,2.0,Goregaon East,Mumbai,19.1562110822264,72.8758090633208,0.0,1.0,0.0,17.0,9.0,0.0,1.0,Omkar Realtors and Developers Pvt. Ltd.,15000000.0,24577865.85365854,28962086.69855786,34421428.571428575
Rustomjee Global City,3700000.0,362.0,2.0,2.0,Virar West,Mumbai,19.4638767047594,72.7822993572118,0.0,1.0,0.0,20.0,8.0,0.0,1.0,Rustomjee,4633333.333333333,4371864.837837838,28962086.69855786,30652286.95652174
Hubtown Akruti Orchid Park,12000000.0,468.0,1.0,2.0,Andheri East,Mumbai,19.1154908,72.8726952,0.5,1.0,0.0,19.0,10.0,0.0,1.0,Hubtown Ltd.,12000000.0,27388814.814814813,28962086.69855786,19467647.05882353
Omkar Veda,28000000.0,900.0,2.0,2.0,Parel,Mumbai,18.9982694030581,72.8410429440342,0.5,1.0,0.0,23.0,6.0,0.0,1.0,Omkar Realtors and Developers Pvt. Ltd.,28000000.0,40645161.29032258,28962086.69855786,34421428.571428575
Bombay Dyeing Two ICC,75000000.0,2340.0,4.0,4.0,Dadar East,Mumbai,19.0135792007831,72.8448295038214,0.5,1.0,0.0,14.0,8.0,0.0,1.0,Bombay Realty,75000000.0,38980000.0,28962086.69855786,90833333.33333333
Arkade Art,8450000.0,634.0,2.0,2.0,Mira Road Area,Mumbai,19.2829267647424,72.8627883689306,0.5,1.0,0.0,34.0,8.0,0.0,1.0,Arkade Group,11975000.0,8827539.215686275,28962086.69855786,29100555.555555556
Mantri Park,7500000.0,533.0,1.0,1.0,Goregaon East,Mumbai,19.1562110822264,72.8758090633208,0.0,1.0,0.0,37.0,9.0,0.0,1.0,Mantri Realty,7900000.0,24577865.85365854,28962086.69855786,7900000.0
The Dudhawala Proxima Residences,14500000.0,480.0,1.0,1.0,Andheri West,Mumbai,19.1373697481266,72.8257229439874,0.5,1.0,0.0,0.0,10.0,0.0,1.0,Unknown,14500000.0,36045507.46268657,28962086.69855786,14922676.984989278
Unkown,40000000.0,910.0,2.0,2.0,Santacruz West,Mumbai,19.0812559812257,72.8376604906028,0.5,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,15096882.33921457,49775184.782608695,28962086.69855786,14922676.984989278
Unkown,75000000.0,1700.0,2.0,4.0,Andheri,Mumbai,19.12029828,72.84559079,1.0,2.0,0.0,0.0,10.0,0.0,1.0,Unknown,15096882.33921457,75000000.0,28962086.69855786,14922676.984989278
Raheja Ridgewood,42000000.0,1050.0,3.0,3.0,Goregaon East,Mumbai,19.1562110822264,72.8758090633208,1.0,1.0,0.0,43.0,9.0,0.0,1.0,Raheja Universal Pvt. Ltd.,37000000.0,24577865.85365854,28962086.69855786,35622100.0
Unkown,60000000.0,995.0,3.0,3.0,Bandra West,Mumbai,19.055229,72.830829,0.5,1.0,0.0,0.0,9.0,1.0,1.0,Unknown,15096882.33921457,69669615.38461539,28962086.69855786,14922676.984989278
Raheja Reflections Odyssey,135000000.0,2214.0,4.0,6.0,Kandivali East,Mumbai,19.2050017,72.8692711,1.0,1.0,0.0,12.0,10.0,0.0,1.0,Raheja Universal Pvt. Ltd.,135000000.0,25722419.363636363,28962086.69855786,35622100.0
Unkown,28500000.0,825.0,2.0,2.0,Khira Nagar,Mumbai,19.0885830591162,72.8370918607247,1.0,1.0,0.0,0.0,2.0,0.0,1.0,Unknown,15096882.33921457,28500000.0,28962086.69855786,14922676.984989278
Lodha World Crest,160000000.0,2575.0,4.0,5.0,Lower Parel West,Mumbai,19.0010243905285,72.8239939828909,0.5,1.0,0.0,58.0,0.0,0.0,1.0,Lodha Developers Limited,160000000.0,138886500.0,28962086.69855786,13938004.985772358
Unkown,70000000.0,1700.0,5.0,5.0,Yashodham,Mumbai,19.1721403570781,72.859157725407,0.5,1.0,0.0,0.0,1.0,0.0,1.0,Unknown,15096882.33921457,59350000.0,28962086.69855786,14922676.984989278
Ekta Tripolis,41000000.0,1084.0,3.0,3.0,Siddharth Nagar Goregaon West,Mumbai,19.15978193,72.84234796,0.0,1.0,0.0,11.0,3.0,0.0,1.0,Ekta World,33750000.0,34687500.0,28962086.69855786,41593750.0
Unkown,19500000.0,783.0,2.0,2.0,Goregaon West,Mumbai,19.1630920855215,72.8398088005091,0.0,1.0,0.0,0.0,10.0,0.0,1.0,Unknown,15096882.33921457,27435008.06451613,28962086.69855786,14922676.984989278
Bliss Tower,15500000.0,637.0,2.0,2.0,Kandarpada,Mumbai,19.256099,72.852924,0.0,1.0,0.0,0.0,5.0,1.0,0.5,Pastonji Group of Companies,15500000.0,14200000.0,28962086.69855786,15500000.0
Unkown,37500000.0,850.0,2.0,2.0,Santacruz West,Mumbai,19.0812559812257,72.8376604906028,0.5,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,15096882.33921457,49775184.782608695,28962086.69855786,14922676.984989278
Shree Naman Residency,37500000.0,1000.0,3.0,3.0,E Block BKC,Mumbai,19.05700025,72.85389377,0.5,1.0,0.0,22.0,0.0,0.0,1.0,Shree Naman Group,81250000.0,64699200.0,28962086.69855786,81250000.0
Naman Habitat,38500000.0,1025.0,3.0,3.0,Azad Nagar Andheri West,Mumbai,19.1284590298281,72.8363317528594,0.0,1.0,0.0,42.0,0.0,0.0,1.0,Shree Naman Developers Pvt. Ltd.,41090000.0,28650000.0,28962086.69855786,41090000.0
Vikrant Apartment,25200000.0,565.0,2.0,2.0,Ghatkopar East,Mumbai,19.07907,72.907976,0.0,1.0,0.0,0.0,9.0,0.0,1.0,Unknown,25200000.0,27393920.0,28962086.69855786,14922676.984989278
Unkown,31500000.0,750.0,2.0,2.0,Sion East,Mumbai,19.0406208013187,72.8695165321764,1.0,1.0,0.0,0.0,6.0,0.0,1.0,Unknown,15096882.33921457,23333333.333333332,28962086.69855786,14922676.984989278
Vakratunda Palace,11000000.0,438.0,1.0,2.0,Bhandup West,Mumbai,19.149901,72.931134,0.5,1.0,0.0,12.0,8.0,0.0,1.0,Vakratunda Group,11000000.0,15605677.966101695,28962086.69855786,11000000.0
Sai Krupa Skylon Spaces,12500000.0,478.80108855470826,1.0,2.0,Kandivali West,Mumbai,19.2101312179652,72.8305011930765,1.0,1.0,0.0,4.0,9.0,0.0,1.0,Sai Krupa Developers,11750000.0,15893324.675324675,28962086.69855786,11750000.0
Unkown,15900000.0,682.3428681161095,2.0,2.0,Dahisar,Mumbai,19.253294549215,72.8588324428622,1.0,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,15096882.33921457,15200000.0,28962086.69855786,14922676.984989278
Veena Codaname Smart Homes,17000000.0,590.0,2.0,2.0,Babrekar Nagar Kandivali West,Mumbai,19.2028825542439,72.8233615697389,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Unknown,17000000.0,17000000.0,28962086.69855786,14922676.984989278
Blue Mountain,27000000.0,847.0,3.0,2.0,Upper Govind Nagar,Mumbai,19.1762768410761,72.854752956029,1.0,1.0,0.0,41.0,2.0,0.0,1.0,Atul Projects,27000000.0,43000000.0,28962086.69855786,39760375.0
Unkown,3900000.0,520.0,1.0,1.0,Virar East,Mumbai,19.4652899784439,72.8189990617033,0.0,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,15096882.33921457,3256250.0,28962086.69855786,14922676.984989278
Parshwa Dialani Astoria,17400000.0,636.0,1.0,2.0,Santacruz East,Mumbai,19.0799983,72.8545019,0.5,1.0,0.0,4.0,10.0,0.0,1.0,Unknown,17400000.0,29254966.666666668,28962086.69855786,14922676.984989278
Evershine Green,24500000.0,900.0,2.0,2.0,Adarsh Nagar Jogeshwari West,Mumbai,19.14396636,72.83383228,0.0,1.0,0.0,23.0,3.0,0.0,1.0,Evershine Builders,24500000.0,24500000.0,28962086.69855786,16785714.285714287
Roswalt  Ray,19500000.0,650.0,2.0,3.0,Dahisar East,Mumbai,19.2530390003417,72.8684258373265,0.0,1.0,0.0,3.0,9.0,0.0,1.0,Roswalt Realty,19500000.0,15067727.272727273,28962086.69855786,22674562.5
Unkown,22500000.0,606.0,2.0,2.0,Raheja Township,Mumbai,19.18026902,72.85653741,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Unknown,15096882.33921457,20000000.0,28962086.69855786,14922676.984989278
Gulmohar CHS Ltd,11800000.0,440.0,1.0,2.0,Goregaon West,Mumbai,19.1630920855215,72.8398088005091,0.0,1.0,0.0,16.0,10.0,0.0,1.0,Shivam Parivar Developers Pvt. Ltd.,13100000.0,27435008.06451613,28962086.69855786,13100000.0
HDIL Premier Residences,15500000.0,710.0,2.0,2.0,Premier Residencies,Mumbai,19.07895823,72.8877028,0.5,1.0,0.0,8.0,0.0,0.0,1.0,Housing Development & Infrastructure Ltd.,14000000.0,15500000.0,28962086.69855786,13672727.272727273
Trevadia Vuepoint,82500000.0,1500.0,3.0,3.0,Prabhadevi,Mumbai,19.0158585103406,72.8295254470428,1.0,1.0,0.0,23.0,6.0,0.0,1.0,SB Brothers Developers,82500000.0,81223529.41176471,28962086.69855786,82500000.0
Unkown,11000000.0,369.217476328824,1.0,1.0,Kherwadi,Mumbai,19.0610164691352,72.8445094700797,0.0,1.0,0.0,0.0,2.0,0.0,0.0,Unknown,15096882.33921457,16500000.0,28962086.69855786,14922676.984989278
Unkown,3890000.0,504.0,1.0,1.0,PL Lokhande Marg,Mumbai,19.0616543969289,72.9067784016372,0.5,1.0,0.0,0.0,0.0,0.0,0.0,Unknown,15096882.33921457,3500000.0,28962086.69855786,14922676.984989278
Mangal Swagat Apartment,60810000.0,1205.1409786783952,3.0,3.0,Bandra West,Mumbai,19.055229,72.830829,1.0,1.0,0.0,0.0,9.0,0.0,1.0,Unknown,60810000.0,69669615.38461539,28962086.69855786,14922676.984989278
Unkown,1410000.0,661.1513523663343,2.0,2.0,Teen Batti,Mumbai,18.947430491297,72.794310568299,1.0,2.0,0.0,0.0,1.0,0.0,0.0,Unknown,15096882.33921457,1440000.0,28962086.69855786,14922676.984989278
Unkown,2850000.0,325.3790979690675,1.0,1.0,Vithalwadi,Mumbai,18.9499045303706,72.8299256969052,0.5,1.0,0.0,0.0,1.0,0.0,0.0,Unknown,15096882.33921457,2850000.0,28962086.69855786,14922676.984989278
Godrej Central,32000000.0,1164.0,3.0,3.0,Chembur,Mumbai,19.0459181155422,72.8975231581492,0.5,1.0,0.0,31.0,10.0,1.0,1.0,Godrej Properties,24625000.0,28907081.472527474,28962086.69855786,30266081.87735849
Parmar Jewel Residency,8000000.0,977.0817686330411,3.0,4.0,Vasai East,Mumbai,19.39954,72.8604165,0.0,1.0,0.0,12.0,6.0,0.0,1.0,Unknown,8000000.0,4582761.904761905,28962086.69855786,14922676.984989278
Shree Shiv Shakti,14900000.0,756.0,2.0,2.0,Borivali West,Mumbai,19.2335321,72.839198,0.5,1.0,0.0,3.0,10.0,0.0,1.0,D V Group,14900000.0,26515480.0,28962086.69855786,14900000.0
Royal Residency,55000000.0,1116.0,3.0,3.0,Lal Baug,Mumbai,18.991538368844,72.8394811827462,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Unknown,34583333.333333336,39583333.333333336,28962086.69855786,14922676.984989278
JP North Estella,5500000.0,372.3579650219435,1.0,2.0,Mira Road East,Mumbai,19.282975,72.873618,0.0,1.0,0.0,38.0,10.0,1.0,1.0,JP Infra,7700000.0,12571100.0,28962086.69855786,8689714.285714285
Vaibhavlaxmi Templum Heights,10500000.0,628.9218223240205,2.0,2.0,Vikhroli East,Mumbai,19.08940973659,72.9389256015301,0.5,1.0,0.0,1.0,7.0,1.0,0.5,Vaibhavlaxmi Builders & Developers,10500000.0,25431250.0,28962086.69855786,33400000.0
Birla KDI Juhu Ankur,53000000.0,1053.8349290337173,3.0,3.0,Juhu,Mumbai,19.098267753993,72.8335140160125,0.5,1.0,0.0,10.0,9.0,1.0,1.0,Birla Estates Private Limited,62900000.0,76607538.46153846,28962086.69855786,63314285.71428572
